ident,icao,iata,name,type,municipality,lat,lon,elev_ft,runway_len_ft,runway_len_m,surface,lighted,n_runways,scheduled_service
NZRI,NZRI,,Rangitata Island Airport,small_airport,Rangitata Island,-44.085,171.416,288,3412,1040,Grass,0,2,0
NZFI,NZFI,,Feilding Airport,small_airport,Feilding,-40.2558,175.605,214,3376,1029,Asphalt,1,1,0
NZDA,NZDA,DGR,Dargaville Aerodrome,small_airport,Dargaville,-35.9393,173.89286,6,3281,1000,Limestone,0,2,0
NZDY,NZDY,,Drury Airfield,small_airport,,-37.09639,174.97528,100,3281,1000,Grass,0,1,0
NZFF,NZFF,,Forest Field Aerodrome,small_airport,,-43.3858,172.36099,381,3281,1000,Grass,0,3,0
NZWL,NZWL,,West Melton Aerodrome,small_airport,,-43.47727,172.3932,312,3271,997,Grass,0,4,0
NZTE,NZTE,,Te Kowhai Airfield,small_airport,Te Kowhai,-37.7442,175.161,49,3224,983,Grass,0,1,0
NZGT,NZGT,GTN,Glentanner Airport,medium_airport,Glentanner Station,-43.9067,170.12801,1824,3166,965,Asphalt,0,1,0
NZHA,NZHA,,Hawera Airport,small_airport,Hawera,-39.5533,174.267,371,3166,965,Unknown,0,1,0
NZTL,NZTL,,Tekapo Aerodrome,small_airport,,-44.0053,170.444,2496,3116,950,Paved,0,1,0
NZGB,NZGB,GBZ,Great Barrier Aerodrome,small_airport,Claris,-36.2414,175.472,20,3051,930,Sealed,0,1,1
NZWO,NZWO,WIR,Wairoa Airport,medium_airport,Wairoa,-39.01186,177.4044,42,3000,914,Asphalt,1,1,0
NZSL,NZSL,,Springhill Airport,small_airport,,-36.3236,174.556,102,2854,870,Unknown,0,1,0
NZTT,NZTT,,Te Kuiti Aerodrome,small_airport,Te Kuiti,-38.30351,175.14781,161,2841,866,Unknown,0,1,0
NZTO,NZTO,TKZ,Tokoroa Airfield,small_airport,Tokoroa,-38.2367,175.892,1220,2789,850,Unknown,0,1,0
NZUN,NZUN,,Pauanui Aerodrome,small_airport,Pauanui,-37.02107,175.86363,20,2782,848,Grass,0,1,0
NZPN,NZPN,PCN,Picton Aerodrome,small_airport,Koromiko,-41.3461,173.95599,161,2755,840,Unknown,0,1,1
NZKF,NZKF,,Kaipara Flats Airport,small_airport,,-36.4064,174.58701,112,2753,839,Grass,0,1,0
NZNE,NZNE,,North Shore Aerodrome,small_airport,Dairy Flat,-36.6567,174.655,210,2660,811,Concrete,1,2,0
NZOX,NZOX,,Okiwi Station Airport,small_airport,,-36.1464,175.41901,10,2644,806,Sealed,0,1,0
NZFJ,NZFJ,WHO,Franz Josef Aerodrome,small_airport,,-43.3631,170.134,240,2628,801,Asphalt,0,1,0
NZRC,NZRC,SZS,Ryan's Creek Aerodrome,small_airport,Oban,-46.8997,168.101,62,2625,800,Asphalt,1,1,0
NZMF,NZMF,MFN,Milford Sound Airport,small_airport,,-44.6733,167.923,10,2598,792,Asphalt,0,1,0
